Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 23510000;Luftdruck;Luftdruck;cond 22371200;cond 22371200;cond 22371200;cond 22371200;ise 24181400;ise 24181400;ise 24181400;ise 24181400;oxi 11923;oxi 11923;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-1400.00_Coefs:0.00 1.00 0.00 0.00);Status [Trübung - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-210.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-105.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];CODcr - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODcr - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-700.00_Coefs:0.00 1.00 0.00 0.00);Status [Chl-A - Messwert];CODmn - Messwert [mg/l] (Limit:0.00-500.00_Coefs:0.00 1.00 0.00 0.00);Status [CODmn - Messwert];HS- - Messwert [mg/l] (Limit:0.00-18.00_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-360.00_Coefs:0.00 1.00 0.00 0.00);Status [BTXest - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert]
2024-09-25 15:02:00;Ok 0x0000;5.25;Ok 0x0000.0000.0000.0000;11.88;Ok 0x0000.0000.0000.0000;-0.16;Ok 0x0000.0000.8001.0000;27.05;Ok 0x0000.0000.0000.0000;53.59;Ok 0x0000.0000.0000.0000;27.05;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;-19.03;Ok 0x0000.0000.0000.0000;4.53;Ok 0x0000.0000.0000.0000;25420;Ok 0x0000.0000.0000.0000;18.97;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;88.7;Ok 0x0000.0000.0000.0000;9.51;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.4;Ok 0x0000.0000.0000.0000
2024-09-25 15:04:00;Ok 0x0000;6.46;Ok 0x0000.0000.0000.0000;11.93;Ok 0x0000.0000.0000.0000;-0.17;Ok 0x0000.0000.8001.0000;27.13;Ok 0x0000.0000.0000.0000;59.00;Ok 0x0000.0000.0000.0000;27.13;Ok 0x0000.0000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;-19.10;Ok 0x0000.0000.0000.0000;4.53;Ok 0x0000.0000.0000.0000;25423;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;88.8;Ok 0x0000.0000.0000.0000;9.53;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.4;Ok 0x0000.0000.0000.0000
2024-09-25 15:06:00;Ok 0x0000;7.32;Ok 0x0000.0000.0000.0000;12.01;Ok 0x0000.0000.0000.0000;-0.20;Ok 0x0000.0000.8001.0000;27.31;Ok 0x0000.0000.0000.0000;62.16;Ok 0x0000.0000.0000.0000;27.31;Ok 0x0000.0000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;-19.44;Ok 0x0000.0000.0000.0000;4.53;Ok 0x0000.0000.0000.0000;25433;Ok 0x0000.0000.0000.0000;18.99;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;89.0;Ok 0x0000.0000.0000.0000;9.53;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.5;Ok 0x0000.0000.0000.0000
2024-09-25 15:08:00;Ok 0x0000;6.63;Ok 0x0000.0000.0000.0000;12.33;Ok 0x0000.0000.0000.0000;-0.12;Ok 0x0000.0000.8001.0000;28.25;Ok 0x0000.0000.0000.0000;26.37;Ok 0x0000.0000.0000.0000;28.25;Ok 0x0000.0000.0000.0000;0.31;Ok 0x0000.0000.0000.0000;-19.24;Ok 0x0000.0000.0000.0000;3.97;Ok 0x0000.0000.0000.0000;23048;Ok 0x0000.0000.0000.0000;17.04;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;89.1;Ok 0x0000.0000.0000.0000;9.58;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.9;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:10:00;Ok 0x0000;6.92;Ok 0x0000.0000.0000.0000;11.97;Ok 0x0000.0000.0000.0000;-0.17;Ok 0x0000.0000.8001.0000;27.28;Ok 0x0000.0000.0000.0000;47.76;Ok 0x0000.0000.0000.0000;27.28;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;-19.25;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25419;Ok 0x0000.0000.0000.0000;18.97;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;89.1;Ok 0x0000.0000.0000.0000;9.52;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:12:00;Ok 0x0000;5.66;Ok 0x0000.0000.0000.0000;12.03;Ok 0x0000.0000.0000.0000;-0.14;Ok 0x0000.0000.8001.0000;27.53;Ok 0x0000.0000.0000.0000;21.87;Ok 0x0000.0000.0000.0000;27.53;Ok 0x0000.0000.0000.0000;0.32;Ok 0x0000.0000.0000.0000;-19.91;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25415;Ok 0x0000.0000.0000.0000;18.97;Ok 0x0000.0000.0000.0000;8.49;Ok 0x0000.0000.0000.0000;89.2;Ok 0x0000.0000.0000.0000;9.50;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:14:00;Ok 0x0000;5.12;Ok 0x0000.0000.0000.0000;12.07;Ok 0x0000.0000.0000.0000;-0.11;Ok 0x0000.0000.8001.0000;27.63;Ok 0x0000.0000.0000.0000;20.15;Ok 0x0000.0000.0000.0000;27.63;Ok 0x0000.0000.0000.0000;0.31;Ok 0x0000.0000.0000.0000;-20.82;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25420;Ok 0x0000.0000.0000.0000;18.97;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.3;Ok 0x0000.0000.0000.0000;9.50;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:16:00;Ok 0x0000;4.82;Ok 0x0000.0000.0000.0000;12.01;Ok 0x0000.0000.0000.0000;-0.09;Ok 0x0000.0000.8001.0000;27.48;Ok 0x0000.0000.0000.0000;14.97;Ok 0x0000.0000.0000.0000;27.48;Ok 0x0000.0000.0000.0000;0.32;Ok 0x0000.0000.0000.0000;-19.98;Ok 0x0000.0000.0000.0000;4.72;Ok 0x0000.0000.0000.0000;25435;Ok 0x0000.0000.0000.0000;18.99;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.4;Ok 0x0000.0000.0000.0000;9.50;Ok 0x0000.0000.0000.0000;24.1;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
2024-09-25 15:18:00;Ok 0x0000;6.33;Ok 0x0000.0000.0000.0000;12.05;Ok 0x0000.0000.0000.0000;-0.12;Ok 0x0000.0000.8001.0000;27.51;Ok 0x0000.0000.0000.0000;32.52;Ok 0x0000.0000.0000.0000;27.51;Ok 0x0000.0000.0000.0000;0.28;Ok 0x0000.0000.0000.0000;-19.43;Ok 0x0000.0000.0000.0000;4.73;Ok 0x0000.0000.0000.0000;25425;Ok 0x0000.0000.0000.0000;18.98;Ok 0x0000.0000.0000.0000;8.50;Ok 0x0000.0000.0000.0000;89.5;Ok 0x0000.0000.0000.0000;9.52;Ok 0x0000.0000.0000.0000;24.2;Ok 0x0000.0000.0000.0000;23.7;Ok 0x0000.0000.0000.0000;24.6;Ok 0x0000.0000.0000.0000
