Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - Messwert [FTU] (Limit:0.00-200.00_Coefs:-9.40 3.42 0.00 0.00);Status [TURBest - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:2.40 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:-0.90 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:2.65 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:2.00 0.16 0.00 0.00);Status [Chl-A - Messwert];Chl-A - Korrigiert [µg/l] (Limit:0.00-100.00);Status [Chl-A - Korrigiert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.91 1.00 0.00 0.00);Status [NO2-Neq - Messwert];NO2-Neq - Korrigiert [mg/l] (Limit:0.00-5.70);Status [NO2-Neq - Korrigiert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.30 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2025-02-20 00:52:00;Error 0x0110;20.96;Ok 0x0000.0000.0000.0000;24.64;Ok 0x0000.0000.0000.0000;2.70;Ok 0x0000.0000.0000.0000;3.03;Ok 0x0000.0000.0000.0000;13.16;Ok 0x0000.0000.0000.0000;13.33;Ok 0x0000.0000.0000.0000;4.03;Ok 0x0000.0000.0000.0000;4.13;Ok 0x0000.0000;0.093;Ok 0x0000.0000.0000.0000;0.091;Ok 0x0000.0000;23940;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.70;Ok 0x0000.0000.0000.0000;126.0;Ok 0x0000.0000.0000.0000;18.01;Ok 0x0000.0000.0000.0000;33.08;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;18.54;Ok 0x0000.0000.0000.0000;0.78;Ok 0x0000.0000.0000.0000;5.31;Ok 0x0000.0000.0000.0000;63.2;Ok 0x0000.0000.0000.0000;126.0;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.2;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.9;Ok 0x0000.0000.0000.0000
2025-02-20 00:54:00;Ok 0x0000;20.96;Ok 0x0000.2000.0000.0000;24.72;Ok 0x0000.0000.0000.0000;2.70;Ok 0x0000.2000.0000.0000;2.54;Ok 0x0000.0000.0000.0000;13.16;Ok 0x0000.2000.0000.0000;13.35;Ok 0x0000.0000.0000.0000;4.03;Ok 0x0000.2000.0000.0000;4.13;Ok 0x0000.0000;0.180;Ok 0x0000.0000.0000.0000;0.108;Ok 0x0000.0000;23940;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.71;Ok 0x0000.0000.0000.0000;132.8;Ok 0x0000.0000.0000.0000;18.01;Ok 0x0000.0000.0000.0000;33.15;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.2000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;18.54;Ok 0x0000.2000.0000.0000;0.77;Ok 0x0000.0000.0000.0000;5.31;Ok 0x0000.0000.0000.0000;63.2;Ok 0x0000.0000.0000.0000;132.8;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.2;Ok 0x0000.0000.0000.0000;20.6;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.9;Ok 0x0000.0000.0000.0000
2025-02-20 01:00:00;Error 0x0110;21.37;Ok 0x0000.0000.0000.0000;24.74;Ok 0x0000.0000.0000.0000;2.70;Ok 0x0000.0000.0000.0000;2.76;Ok 0x0000.0000.0000.0000;13.12;Ok 0x0000.0000.0000.0000;13.36;Ok 0x0000.0000.0000.0000;5.18;Ok 0x0000.0000.0000.0000;4.18;Ok 0x0000.0000;0.156;Ok 0x0000.0000.0000.0000;0.112;Ok 0x0000.0000;23945;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.71;Ok 0x0000.0000.0000.0000;143.6;Ok 0x0000.0000.0000.0000;18.01;Ok 0x0000.0000.0000.0000;33.15;Ok 0x0000.0000.0000.0000;0.23;Ok 0x0000.0000.0000.0000;0.20;Ok 0x0000.0000.0000.0000;18.44;Ok 0x0000.0000.0000.0000;0.79;Ok 0x0000.0000.0000.0000;5.31;Ok 0x0000.0000.0000.0000;63.2;Ok 0x0000.0000.0000.0000;143.6;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.2;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:16:00;Ok 0x0000;22.70;Ok 0x0000.0000.0000.0000;28.89;Ok 0x0000.0000.0000.0000;2.71;Ok 0x0000.0000.0000.0000;2.83;Ok 0x0000.0000.0000.0000;13.56;Ok 0x0000.0000.0000.0000;14.02;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000.0000.0000;4.55;Ok 0x0000.0000;0.069;Ok 0x0000.0000.0000.0000;0.069;Ok 0x0000.0000;23907;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.86;Ok 0x0000.0000.0000.0000;146.4;Ok 0x0000.0000.0000.0000;17.98;Ok 0x0000.0000.0000.0000;34.97;Ok 0x0000.0000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;0.20;Ok 0x0000.0000.0000.0000;18.63;Ok 0x0000.0000.0000.0000;0.81;Ok 0x0000.0000.0000.0000;4.74;Ok 0x0000.0000.0000.0000;63.1;Ok 0x0000.0000.0000.0000;146.4;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:18:00;Ok 0x0000;20.91;Ok 0x0000.0000.0000.0000;24.78;Ok 0x0000.0000.0000.0000;2.72;Ok 0x0000.0000.0000.0000;2.73;Ok 0x0000.0000.0000.0000;13.14;Ok 0x0000.0000.0000.0000;13.36;Ok 0x0000.0000.0000.0000;3.76;Ok 0x0000.0000.0000.0000;4.36;Ok 0x0000.0000;0.070;Ok 0x0000.0000.0000.0000;0.070;Ok 0x0000.0000;23932;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.76;Ok 0x0000.0000.0000.0000;142.3;Ok 0x0000.0000.0000.0000;18.00;Ok 0x0000.0000.0000.0000;33.18;Ok 0x0000.0000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;0.24;Ok 0x0000.0000.0000.0000;18.04;Ok 0x0000.0000.0000.0000;0.78;Ok 0x0000.0000.0000.0000;4.74;Ok 0x0000.0000.0000.0000;63.0;Ok 0x0000.0000.0000.0000;142.3;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.2;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:20:00;Ok 0x0000;21.12;Ok 0x0000.0000.0000.0000;24.65;Ok 0x0000.0000.0000.0000;2.71;Ok 0x0000.0000.0000.0000;2.85;Ok 0x0000.0000.0000.0000;13.11;Ok 0x0000.0000.0000.0000;13.34;Ok 0x0000.0000.0000.0000;5.16;Ok 0x0000.0000.0000.0000;4.42;Ok 0x0000.0000;0.098;Ok 0x0000.0000.0000.0000;0.070;Ok 0x0000.0000;23923;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.69;Ok 0x0000.0000.0000.0000;140.4;Ok 0x0000.0000.0000.0000;18.00;Ok 0x0000.0000.0000.0000;33.14;Ok 0x0000.0000.0000.0000;0.24;Ok 0x0000.0000.0000.0000;0.24;Ok 0x0000.0000.0000.0000;18.62;Ok 0x0000.0000.0000.0000;0.78;Ok 0x0000.0000.0000.0000;4.74;Ok 0x0000.0000.0000.0000;63.0;Ok 0x0000.0000.0000.0000;140.4;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:22:00;Ok 0x0000;21.09;Ok 0x0000.0000.0000.0000;24.68;Ok 0x0000.0000.0000.0000;2.71;Ok 0x0000.0000.0000.0000;2.60;Ok 0x0000.0000.0000.0000;13.12;Ok 0x0000.0000.0000.0000;13.34;Ok 0x0000.0000.0000.0000;4.79;Ok 0x0000.0000.0000.0000;4.51;Ok 0x0000.0000;0.134;Ok 0x0000.0000.0000.0000;0.077;Ok 0x0000.0000;23920;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.66;Ok 0x0000.0000.0000.0000;139.5;Ok 0x0000.0000.0000.0000;17.99;Ok 0x0000.0000.0000.0000;33.12;Ok 0x0000.0000.0000.0000;0.25;Ok 0x0000.0000.0000.0000;0.14;Ok 0x0000.0000.0000.0000;18.86;Ok 0x0000.0000.0000.0000;0.78;Ok 0x0000.0000.0000.0000;4.73;Ok 0x0000.0000.0000.0000;63.0;Ok 0x0000.0000.0000.0000;139.5;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:24:00;Ok 0x0000;20.94;Ok 0x0000.0000.0000.0000;24.67;Ok 0x0000.0000.0000.0000;2.74;Ok 0x0000.0000.0000.0000;2.96;Ok 0x0000.0000.0000.0000;13.16;Ok 0x0000.0000.0000.0000;13.34;Ok 0x0000.0000.0000.0000;3.55;Ok 0x0000.0000.0000.0000;4.57;Ok 0x0000.0000;0.030;Ok 0x0000.0000.0000.0000;0.081;Ok 0x0000.0000;23929;Ok 0x0000.0000.0000.0000;8.04;Ok 0x0000.0000.0000.0000;6.63;Ok 0x0000.0000.0000.0000;134.8;Ok 0x0000.0000.0000.0000;18.00;Ok 0x0000.0000.0000.0000;33.11;Ok 0x0000.0000.0000.0000;0.27;Ok 0x0000.0000.0000.0000;0.16;Ok 0x0000.0000.0000.0000;18.20;Ok 0x0000.0000.0000.0000;0.77;Ok 0x0000.0000.0000.0000;4.74;Ok 0x0000.0000.0000.0000;62.9;Ok 0x0000.0000.0000.0000;134.8;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.8;Ok 0x0000.0000.0000.0000
2025-02-20 01:26:00;Ok 0x0000;20.99;Ok 0x0000.0000.0000.0000;24.71;Ok 0x0000.0000.0000.0000;2.73;Ok 0x0000.0000.0000.0000;2.51;Ok 0x0000.0000.0000.0000;13.16;Ok 0x0000.0000.0000.0000;13.36;Ok 0x0000.0000.0000.0000;3.55;Ok 0x0000.0000.0000.0000;4.40;Ok 0x0000.0000;0.069;Ok 0x0000.0000.0000.0000;0.079;Ok 0x0000.0000;23923;Ok 0x0000.0000.0000.0000;8.03;Ok 0x0000.0000.0000.0000;6.59;Ok 0x0000.0000.0000.0000;122.3;Ok 0x0000.0000.0000.0000;18.00;Ok 0x0000.0000.0000.0000;33.16;Ok 0x0000.0000.0000.0000;0.26;Ok 0x0000.0000.0000.0000;0.30;Ok 0x0000.0000.0000.0000;18.24;Ok 0x0000.0000.0000.0000;0.76;Ok 0x0000.0000.0000.0000;4.74;Ok 0x0000.0000.0000.0000;62.7;Ok 0x0000.0000.0000.0000;122.3;Ok 0x0000.0000.0000.0000;20.3;Ok 0x0000.0000.0000.0000;20.1;Ok 0x0000.0000.0000.0000;20.5;Ok 0x0000.0000.0000.0000;20.4;Ok 0x0000.0000.0000.0000;19.9;Ok 0x0000.0000.0000.0000
